date,open
2017/8/5,2897.63
2017/8/6,3257.61
2017/8/7,3212.78
2017/8/8,3370.22
2017/8/9,3420.4
2017/8/10,3341.84
2017/8/11,3373.82
2017/8/12,3650.63
2017/8/13,3880.04
2017/8/14,4066.1
2017/8/15,4326.99
2017/8/16,4200.34
2017/8/17,4384.44
2017/8/18,4324.34
2017/8/19,4137.75
2017/8/20,4189.31
2017/8/21,4090.48
2017/8/22,3998.35
2017/8/23,4089.01
2017/8/24,4137.6
2017/8/25,4332.82
2017/8/26,4372.06
2017/8/27,4345.1
2017/8/28,4384.45
2017/8/29,4389.21
2017/8/30,4570.36
2017/8/31,4555.59
2017/9/1,4701.76
2017/9/2,4901.42
2017/9/3,4585.27
2017/9/4,4591.63
2017/9/5,4228.29
2017/9/6,4376.59
2017/9/7,4589.14
2017/9/8,4605.16
2017/9/9,4229.81
2017/9/10,4229.34
2017/9/11,4122.47
2017/9/12,4168.88
2017/9/13,4131.98
2017/9/14,3875.37
2017/9/15,3166.3
2017/9/16,3637.75
2017/9/17,3606.28
2017/9/18,3591.09
2017/9/19,4073.79
2017/9/20,3916.36
2017/9/21,3901.47
2017/9/22,3628.02
2017/9/23,3629.92
2017/9/24,3796.15
2017/9/25,3681.58
2017/9/26,3928.41
2017/9/27,3892.94
2017/9/28,4197.13
2017/9/29,4171.62
2017/9/30,4166.11
2017/10/1,4341.05
2017/10/2,4395.81
2017/10/3,4408.46
2017/10/4,4319.37
2017/10/5,4229.88
2017/10/6,4324.46
2017/10/7,4369.35
2017/10/8,4429.67
2017/10/9,4614.52
2017/10/10,4776.21
2017/10/11,4789.25
